Date,Close,High,Low,Open,Volume
2016/03/08,192.9404907,196.3832981,191.080189,196.3832981,2614722
2016/03/09,191.4505615,195.8361392,190.3226023,191.0801838,1640260
2016/03/10,191.9724579,196.7200004,191.9219542,192.7553041,2572746
2016/03/11,191.9640503,195.188004,189.8175521,190.69298,1632008
2016/03/14,189.0347137,196.5516508,187.0397268,194.2452157,4527783
2016/03/15,195.2216644,197.30082,188.8410996,189.2283163,3635633
2016/03/16,192.4354248,195.7098821,189.3966601,193.7906636,2425097
2016/03/17,193.2350922,197.056703,192.1744755,193.6054699,2882095
2016/03/18,190.2384033,195.5078341,190.0532145,195.2889804,7056894
2016/03/21,195.2721558,195.3058335,190.7855579,190.7939838,3854745
2016/03/22,197.3849945,200.4910889,194.8681187,195.5078539,4176661
2016/03/23,197.7890625,199.4978404,195.8614179,197.9826644,2141206
2016/03/24,204.2621918,206.5686139,194.6997646,197.8142848,6206802
2016/03/25,206.2150574,210.2639346,202.8816837,204.1274891,4475616
2016/03/28,210.0871887,213.2858903,206.2150742,206.2150742,4833765
2016/03/29,208.8497925,211.2824867,205.7605242,210.1040238,3668805
2016/03/30,209.3127747,210.7774339,206.6359618,209.598971,2778260
2016/03/31,208.4541626,210.693255,207.9070219,210.3060384,1945734
2016/04/01,206.3076782,210.8532059,205.844706,209.5568837,2514607
2016/04/05,206.669632,208.3363189,204.5483858,204.5483858,2504785
2016/04/06,216.5098114,216.8381112,206.9053072,206.9053072,4842492
2016/04/07,213.9003754,216.7371251,212.646144,216.2404881,2553639
2016/04/08,210.3229065,215.3987364,208.9255768,212.1242788,2315602
2016/04/11,205.1544647,214.8010608,204.9692758,210.8616164,11928468
2016/04/12,206.164566,206.2319086,203.7908014,205.1376143,2333909
2016/04/13,203.9086456,209.2875099,203.4540865,206.5686066,5427425
2016/04/14,204.3463593,206.0888146,202.8648612,204.0264981,2866437
2016/04/15,206.1477356,206.2150782,203.0332153,204.245356,1902926
2016/04/18,205.1207886,207.0736848,204.1275145,204.3800459,1859304
2016/04/19,204.6998901,206.3918417,203.243644,205.8867789,1423668
2016/04/20,200.7099609,205.726861,198.4877073,204.708335,3370850
2016/04/21,202.3345642,203.9591734,200.5921215,202.4439975,2967222
2016/04/22,208.2521515,208.656207,202.3345589,202.8648737,3545938
2016/04/25,205.8278503,208.8413628,204.8008987,208.016426,2499028
2016/04/26,205.2723236,207.8144514,204.5484069,206.1898422,1515668
2016/04/27,206.1309204,206.6359705,204.9608704,205.8110464,1391510
2016/04/28,207.4440765,207.696608,205.3901728,206.9306006,1715655
2016/04/29,211.4508362,212.4862009,208.2437216,208.2437216,4607949
2016/05/03,218.8583832,220.7776018,210.9037253,210.9037253,5647486
2016/05/04,215.6680603,220.8701744,215.4828843,218.8583488,2863626
2016/05/05,216.9812012,217.3010752,215.0704087,215.9121716,1351789
2016/05/06,212.3094635,217.6125601,211.3835191,216.5940341,2717369
2016/05/09,211.1309967,212.7976838,209.6073949,210.5501782,2779918
2016/05/10,212.1915894,213.8077726,209.6915526,210.0198396,3350589
2016/05/11,216.2236481,219.2624257,212.4188887,212.4188887,4927713
2016/05/12,215.4576569,215.9627069,212.1242698,213.8246346,1889411
2016/05/13,211.2488251,217.9324118,210.8616085,215.4744656,2814561
2016/05/16,211.8128052,211.9559033,208.1679702,211.1646441,2220273
2016/05/17,210.4659882,212.4609622,210.2976381,211.2909122,1178569
2016/05/18,205.7605591,211.9980263,204.6325997,209.6663391,2838034
2016/05/19,206.8800659,209.178075,205.8110235,206.36659,2088943
2016/05/20,211.5013275,212.2757478,205.6595042,207.7807373,2550157
2016/05/23,213.9761353,214.6411352,210.2050409,210.2050409,1870618
2016/05/24,212.073761,214.8263294,210.5249202,214.1529165,1167440
2016/05/25,212.0064087,214.59904,211.2909051,214.2118234,1778534
2016/05/26,212.7219086,213.639427,209.7673126,212.1158383,1812026
2016/05/27,212.4946442,214.3886108,211.6023775,212.7303368,1323044
2016/05/30,215.6007385,215.9121867,210.4407278,211.7033721,2980692
2016/05/31,222.621048,224.4308332,214.8179018,215.4913148,5394965
2016/06/01,222.0486603,223.4880678,221.3836603,223.4038863,2187669
2016/06/02,225.3736115,226.1648707,221.392089,221.392089,2476076
2016/06/03,238.9680328,241.3670361,224.2455853,224.7506481,6479813
2016/06/06,232.3686371,238.2188995,231.4847963,237.3771366,3726166
2016/06/07,233.8838501,234.422565,231.4932463,232.7474649,1875353
2016/06/08,230.8787842,233.8922848,230.22221,232.6633179,2388209
2016/06/13,224.8012085,232.8821379,224.1193826,230.0959046,3777506
2016/06/14,229.5908508,230.4746917,225.3483583,225.3483583,2558729
2016/06/15,232.7390137,233.841721,227.4527437,227.8736252,2732201
2016/06/16,230.6599121,233.8417756,230.4578972,231.36699,1964357
2016/06/17,234.2289734,237.7896143,230.3063548,230.3063548,2470518
2016/06/20,232.4191284,235.5757391,230.6430211,235.4999835,1901926
2016/06/21,230.483139,233.9596246,229.801313,233.2020429,1674933
2016/06/22,234.3804932,235.1549007,229.6076856,230.4494486,2088448
2016/06/23,232.6969757,235.6683982,231.3838274,235.6683982,1398451
2016/06/24,230.4494171,233.1683205,224.9190545,231.7204873,2012951
2016/06/27,242.1583252,246.0472654,231.4847787,231.4847787,6364269
2016/06/28,242.6045074,243.8250741,241.0135887,241.6028074,2428223
2016/06/29,242.5792389,243.6482943,239.2290388,242.0489241,2814760
2016/06/30,245.7274475,251.0137177,244.1280774,244.1280774,3802240
2016/07/01,246.0894775,250.9997363,244.2233929,246.9752163,2601495
2016/07/04,252.7368011,254.0267134,245.9432686,246.8032101,2948864
2016/07/05,258.4812012,260.6482705,253.7085364,253.7085364,4170773
2016/07/06,272.7648621,273.4614126,257.131131,257.8104659,4734770
2016/07/07,272.5240784,281.0288866,268.370546,271.5695296,5072520
2016/07/08,266.5044861,271.3115561,263.2797053,269.6174703,4554563
2016/07/11,271.0019836,278.6210529,265.7477273,265.7477273,5748167
2016/07/12,279.2487793,280.8568655,270.8815401,271.5351039,5311945
2016/07/13,272.7648621,279.2488287,270.9245745,277.7869176,5344828
2016/07/14,272.678833,275.8692085,271.0535573,271.8188916,2923085
2016/07/15,273.0486145,273.4871931,270.9331658,272.7046432,2681101
2016/07/18,271.9221497,274.7513651,271.4491922,273.0314818,2335289
2016/07/19,264.956604,271.9995281,262.7551555,271.3115853,4143166
2016/07/20,265.3435669,267.3300298,264.4320309,265.3951613,1773384
2016/07/21,270.3483887,273.1174011,265.7218996,266.710827,3300949
2016/07/22,264.7931824,271.0535551,264.3288066,269.075674,2887145
2016/07/25,267.6653442,270.184966,264.0019858,264.5179559,2362353
2016/07/26,274.3557739,274.7513397,265.2919822,265.7305608,3555567
2016/07/27,270.0302124,275.6972232,265.119928,275.0522671,3922806
2016/07/28,271.7844849,274.5792946,267.8717618,268.3017325,3964399
2016/07/29,269.2906799,274.2181543,269.161694,270.9503608,2900737
2016/08/01,263.9676208,269.9786294,262.282143,269.1616746,3170185
2016/08/02,263.3226929,267.0118494,260.4333019,264.2170394,2654142
2016/08/03,263.8472595,264.7759848,261.5512042,264.0020427,2403907
2016/08/04,263.4000854,265.1457657,261.6114186,263.873069,2179364
2016/08/05,263.0819092,265.1801686,262.307967,263.5634743,2030848
2016/08/08,264.9479675,265.1199401,260.6138552,263.2710712,2200740
2016/08/09,271.5265198,273.1776189,263.5032774,265.008175,3928967
2016/08/10,269.8582764,272.1715214,269.4454949,270.9245956,2094471
2016/08/11,272.4036255,276.5313599,270.0302051,270.3483792,3193972
2016/08/12,272.5756531,272.9454216,270.0302336,272.9454216,2335283
